contest_district_value,accuracy,n_students
bagalkot,0.5896825526625671,61144
ballari,0.4227980287010703,46061
belagavi,0.656636941550415,56630
belagavi chikkodi,0.6113152280654228,59062
bengaluru rural,0.6158300459628678,27631
bidar,0.454034192812056,42933
chamarajanagara,0.5073247453565009,30042
chikkaballapura,0.48686144396610814,36469
chikkamagaluru,0.6007769779192912,28894
chitradurga,0.4241034830199913,87338
dakshina kannada,0.7292051756007394,1623
davanagere,0.49288527754590983,38336
dharwad,0.6292215470274801,66812
gadag,0.5261782497909008,51411
hassan,0.5960811199327687,45217
haveri,0.584649293400752,53991
kalaburgi,0.4200565217864805,91823
kodagu,0.5438658005462464,13547
kolar,0.520428168358591,34379
koppal,0.47397681141106035,63307
mandya,0.5656294985250737,42375
mysuru,0.5557769977882488,41596
raichur,0.4656857851805373,70124
ramanagara,0.5920508297923515,24946
tumakuru,0.6670081022962906,52084
tumakuru madhugiri,0.5663487057794986,32027
udupi,0.7426998223801065,2815
uttara kannada sirsi,0.699625468164794,801
vijayanagar,0.43255630282206187,61409
vijayapura,0.5728327113979857,69407
yadagiri,0.4823322854658551,44853
