contest_district_value,accuracy,expected_accuracy,gap,dev_index_z,female_ever_school_n5,improved_sanitation_n5,women_10yr_schooling_n5,segment,is_proxy
chitradurga,0.4241034830199913,0.5526005280714759,-0.12849704505148457,-0.053961612548758336,73.0,63.1,48.3,weak context / low accuracy,False
kodagu,0.5438658005462464,0.6453183167077364,-0.10145251616148998,1.5312435911801079,83.6,93.9,58.9,favourable context / low accuracy,False
davanagere,0.49288527754590983,0.5790516711968019,-0.08616639365089207,0.39827619794670704,74.9,83.3,47.1,favourable context / low accuracy,False
ballari,0.4227980287010703,0.5080711080101065,-0.08527307930903616,-0.8152855120782744,64.2,64.1,39.9,weak context / low accuracy,False
vijayanagar,0.43255630282206187,0.5080711080101065,-0.0755148051880446,-0.8152855120782744,64.2,64.1,39.9,weak context / low accuracy,True
kolar,0.520428168358591,0.5958235854622335,-0.0753954171036425,0.6850272751791389,71.6,89.2,55.0,favourable context / low accuracy,False
chikkaballapura,0.48686144396610814,0.5573214114301258,-0.07045996746401767,0.02675179721220497,65.9,84.9,48.0,favourable context / low accuracy,False
bidar,0.454034192812056,0.5229722603125416,-0.06893806750048564,-0.5605190371783465,68.2,56.5,45.0,weak context / low accuracy,False
kalaburgi,0.4200565217864805,0.4827940977144346,-0.06273757592795409,-1.2474490574428225,65.0,36.5,42.0,weak context / low accuracy,False
tumakuru madhugiri,0.5663487057794986,0.6036635948474552,-0.03731488906795666,0.8190686911526454,72.3,86.1,58.9,favourable context / high accuracy,False
mysuru,0.5557769977882488,0.5816435176403693,-0.025866519852120406,0.4425892529714285,72.4,86.4,49.6,favourable context / low accuracy,False
chamarajanagara,0.5073247453565009,0.5227354108097134,-0.015410665453212569,-0.564568476556769,63.2,75.2,41.7,weak context / low accuracy,False
koppal,0.47397681141106035,0.48753079191719784,-0.013553980506137486,-1.1664653281160837,63.9,58.8,34.4,weak context / low accuracy,False
gadag,0.5261782497909008,0.5363066623986457,-0.010128412607744885,-0.3325394457060957,73.3,55.2,45.1,weak context / low accuracy,False
mandya,0.5656294985250737,0.5755826154080477,-0.009953116882973956,0.33896540797594427,67.7,86.7,52.5,favourable context / high accuracy,False
hassan,0.5960811199327687,0.5933000980030169,0.0027810219297518257,0.6418829604717634,74.4,87.9,51.3,favourable context / high accuracy,False
chikkamagaluru,0.6007769779192912,0.5963647041910957,0.004412273728195526,0.6942788356126237,76.2,92.3,48.3,favourable context / high accuracy,False
ramanagara,0.5920508297923515,0.5870465465888155,0.005004283203535964,0.5349653733572967,68.8,89.6,54.5,favourable context / high accuracy,False
bengaluru rural,0.6158300459628678,0.6062631953735073,0.009566850589360576,0.8635143184926213,74.3,88.8,56.3,favourable context / high accuracy,False
raichur,0.4656857851805373,0.4494110134352515,0.0162747717452858,-1.8182029515362843,55.3,53.0,31.7,weak context / low accuracy,False
dharwad,0.6292215470274801,0.5942590998221878,0.03496244720529229,0.6582791094362209,78.2,79.3,51.4,favourable context / high accuracy,False
haveri,0.584649293400752,0.5380970628645724,0.04655223053617963,-0.3019287918381538,72.6,68.9,40.0,weak context / high accuracy,False
belagavi chikkodi,0.6113152280654228,0.555109110204375,0.05620611786104779,-0.011072135679829793,72.4,67.7,47.8,weak context / high accuracy,False
tumakuru,0.6670081022962906,0.6036635948474552,0.06334450744883535,0.8190686911526454,72.3,86.1,58.9,favourable context / high accuracy,False
dakshina kannada,0.7292051756007394,0.6594725214484257,0.06973265415231367,1.7732394297306566,83.9,97.1,62.8,favourable context / high accuracy,False
yadagiri,0.4823322854658551,0.40826579407671426,0.07406649138914084,-2.521666836892702,51.9,37.4,26.4,weak context / low accuracy,False
vijayapura,0.5728327113979857,0.48383981519490077,0.08899289620308498,-1.229570322239501,66.1,44.8,37.1,weak context / high accuracy,False
uttara kannada sirsi,0.699625468164794,0.609416654879852,0.09020881328494201,0.9174293276050249,81.1,89.6,49.2,favourable context / high accuracy,False
bagalkot,0.5896825526625671,0.49644291096391835,0.09323964169864873,-1.0140939472094925,67.3,51.3,37.7,weak context / high accuracy,False
belagavi,0.656636941550415,0.555109110204375,0.10152783134603993,-0.011072135679829793,72.4,67.7,47.8,weak context / high accuracy,False
udupi,0.7426998223801065,0.63291020297457,0.10978961940553644,1.3191008433041886,82.0,94.5,55.4,favourable context / high accuracy,False
